"student_id","admission_no","full_name","class_name","stream_name","gender","average_score","attendance_rate","fee_balance","discipline_cases","activities_count","position","grade"
"146","KWA-2026-G5-003","Purity Cheruiyot","Grade 5","Grade 5","female","0.00","90.91","142800.00","0","0","-","E"
"147","KWA-2026-G5-004","Thomas Okello","Grade 5","Grade 5","male","0.00","90.91","142800.00","0","0","-","E"
"148","KWA-2026-G5-005","Caroline Barasa","Grade 5","Grade 5","female","0.00","75.76","142800.00","0","0","-","E"
"149","KWA-2026-G7-001","Richard Nyongesa","Grade 7","Grade 7","male","0.00","87.88","181200.00","0","0","-","E"
"150","KWA-2026-G7-002","Janet Jepchumba","Grade 7","Grade 7","female","0.00","87.88","181200.00","0","0","-","E"
"151","KWA-2026-G7-003","Henry Masai","Grade 7","Grade 7","male","0.00","78.79","0.00","0","0","-","E"
"152","KWA-2026-G7-004","Gladys Chepkemoi","Grade 7","Grade 7","female","0.00","84.85","0.00","0","0","-","E"
"153","KWA-2026-G7-005","Timothy Okello","Grade 7","Grade 7","male","0.00","87.88","0.00","0","0","-","E"
"154","KWA-2026-G8-001","Alice Nyongesa","Grade 8","Grade 8","female","0.00","90.91","181200.00","0","0","-","E"
"155","KWA-2026-G8-002","Martin Masai","Grade 8","Grade 8","male","0.00","84.85","181200.00","0","0","-","E"
"156","KWA-2026-G8-003","Diana Jepkirui","Grade 8","Grade 8","female","0.00","84.85","181200.00","0","0","-","E"
"157","KWA-2026-G8-004","John Kilonzo","Grade 8","Grade 8","male","0.00","93.94","181200.00","0","0","-","E"
"158","KWA-2026-G8-005","Eunice Chelimo","Grade 8","Grade 8","female","0.00","81.82","181200.00","0","0","-","E"
"159","KWA-2026-G9-001","Anthony Kipkoech","Grade 9","Grade 9","male","0.00","84.85","181200.00","0","0","-","E"
"160","KWA-2026-G9-002","Lydia Chepchirchir","Grade 9","Grade 9","female","0.00","93.94","181200.00","0","0","-","E"
"161","KWA-2026-G9-003","Eric Masai","Grade 9","Grade 9","male","0.00","87.88","181200.00","0","0","-","E"
"162","KWA-2026-G9-004","Winnie Kosgei","Grade 9","Grade 9","female","0.00","93.94","181200.00","0","0","-","E"
"163","KWA-2026-G9-005","Emmanuel Ogutu","Grade 9","Grade 9","male","0.00","81.82","0.00","0","0","-","E"
